      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,       |Ap|,       /_Ap,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout)
        Hz,         dB,       Rads,         dB,       Rads,         dB,       Rads,          V,          V,          V,          V,          L,          L,          A,          A,          A,          A,          L,          L,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W
 1.000e+01, -1.091e-11, -3.996e-05,  1.089e-11, -3.990e-05, -8.679e-15, -6.283e-08,  2.500e+00,  7.854e-08,  2.500e+00, -9.982e-05,  1.000e+00, -3.996e-05,  5.000e-02, -1.571e-09,  5.000e-02, -1.996e-06,  1.000e+00, -3.990e-05,  5.000e+01,  3.142e-06,  5.000e+01,  3.142e-06,  1.250e-01,  7.854e-09,  1.250e-01, -8.470e-22,
 4.017e+04,  5.404e-04, -1.602e-01, -5.430e-04, -1.610e-01, -1.288e-06,  7.701e-04,  2.500e+00, -9.626e-04,  2.468e+00, -3.997e-01,  9.873e-01, -1.595e-01,  5.000e-02,  1.925e-05,  4.936e-02, -7.994e-03,  9.870e-01, -1.603e-01,  4.999e+01, -3.850e-02,  4.999e+01, -3.850e-02,  1.250e-01, -9.626e-05,  1.250e-01,  0.000e+00,
 8.033e+04,  1.054e-02, -3.185e-01, -1.078e-02, -3.258e-01, -1.174e-04,  7.353e-03,  2.497e+00, -9.192e-03,  2.371e+00, -7.916e-01,  9.509e-01, -3.135e-01,  5.006e-02,  1.838e-04,  4.743e-02, -1.583e-02,  9.462e-01, -3.197e-01,  4.988e+01, -3.668e-01,  4.988e+01, -3.668e-01,  1.250e-01, -9.192e-04,  1.250e-01,  0.000e+00,
 1.205e+05,  5.373e-02, -4.740e-01, -5.623e-02, -4.980e-01, -1.247e-03,  2.396e-02,  2.484e+00, -2.996e-02,  2.210e+00, -1.168e+00,  8.953e-01, -4.593e-01,  5.032e-02,  5.991e-04,  4.420e-02, -2.336e-02,  8.729e-01, -4.746e-01,  4.936e+01, -1.183e+00,  4.936e+01, -1.183e+00,  1.250e-01, -2.996e-03,  1.250e-01,  0.000e+00,
 1.607e+05,  1.658e-01, -6.274e-01, -1.774e-01, -6.790e-01, -5.786e-03,  5.161e-02,  2.451e+00, -6.450e-02,  1.984e+00, -1.520e+00,  8.252e-01, -5.984e-01,  5.099e-02,  1.290e-03,  3.967e-02, -3.039e-02,  7.625e-01, -6.153e-01,  4.800e+01, -2.479e+00,  4.800e+01, -2.479e+00,  1.249e-01, -6.450e-03,  1.249e-01,  0.000e+00,
 2.008e+05,  3.906e-01, -7.817e-01, -4.231e-01, -8.681e-01, -1.625e-02,  8.645e-02,  2.383e+00, -1.079e-01,  1.689e+00, -1.836e+00,  7.424e-01, -7.369e-01,  5.234e-02,  2.158e-03,  3.379e-02, -3.672e-02,  6.155e-01, -7.268e-01,  4.536e+01, -3.931e+00,  4.536e+01, -3.931e+00,  1.245e-01, -1.079e-02,  1.245e-01, -6.939e-18,
 2.410e+05,  7.770e-01, -9.430e-01, -8.380e-01, -1.061e+00, -3.048e-02,  1.183e-01,  2.267e+00, -1.468e-01,  1.326e+00, -2.101e+00,  6.423e-01, -8.851e-01,  5.465e-02,  2.936e-03,  2.653e-02, -4.202e-02,  4.428e-01, -7.927e-01,  4.123e+01, -4.902e+00,  4.123e+01, -4.902e+00,  1.235e-01, -1.468e-02,  1.235e-01, -1.388e-17,
 2.811e+05,  1.373e+00, -1.123e+00, -1.446e+00, -1.252e+00, -3.654e-02,  1.295e-01,  2.096e+00, -1.579e-01,  8.970e-01, -2.293e+00,  5.074e-01, -1.056e+00,  5.807e-02,  3.159e-03,  1.794e-02, -4.586e-02,  2.652e-01, -8.041e-01,  3.584e+01, -4.669e+00,  3.584e+01, -4.669e+00,  1.212e-01, -1.579e-02,  1.212e-01, -1.388e-17,
 3.213e+05,  2.202e+00, -1.341e+00, -2.239e+00, -1.434e+00, -1.877e-02,  9.291e-02,  1.873e+00, -1.089e-01,  4.140e-01, -2.382e+00,  2.940e-01, -1.255e+00,  6.254e-02,  2.179e-03,  8.280e-03, -4.764e-02,  1.057e-01, -7.655e-01,  2.986e+01, -2.782e+00,  2.986e+01, -2.782e+00,  1.169e-01, -1.089e-02,  1.169e-01,  0.000e+00,
 3.615e+05,  3.180e+00, -1.631e+00, -3.184e+00, -1.600e+00, -2.105e-03, -3.113e-02,  1.623e+00,  3.413e-02, -9.102e-02, -2.339e+00, -8.635e-02, -1.439e+00,  6.754e-02, -6.826e-04, -1.820e-03, -4.678e-02, -1.995e-02, -6.928e-01,  2.402e+01,  7.481e-01,  2.402e+01,  7.481e-01,  1.096e-01,  3.413e-03,  1.096e-01,  0.000e+00,
