      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,      |Pin|,      /_Pin,     |Pout|,     /_Pout,    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout)
        Hz,         dB,       Rads,         dB,       Rads,        dBW,       Rads,        dBW,       Rads,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A
 1.000e+01,  1.467e-07, -1.988e-03, -1.468e-07, -1.985e-03, -1.704e+01,  2.863e-06, -1.704e+01,  3.426e-19,  3.160e+02,  9.048e-04,  3.160e+02,  9.048e-04,  2.500e+00,  3.579e-06,  2.500e+00, -4.967e-03,  7.911e-03, -1.133e-08,  7.911e-03, -1.572e-05,
 6.721e+03,  6.866e-03, -1.342e+00, -7.595e-03, -1.329e+00, -1.704e+01,  1.296e-02, -1.704e+01,  8.771e-17,  3.154e+02,  4.087e+00,  3.174e+02, -3.904e+00,  2.498e+00,  1.619e-02,  5.828e-01, -2.431e+00,  7.918e-03, -5.125e-05,  1.844e-03, -7.693e-03,
 1.343e+04, -4.833e-02, -2.671e+00,  4.822e-02, -2.667e+00, -1.704e+01,  4.946e-03, -1.704e+01,  8.771e-17,  3.195e+02,  1.580e+00,  3.127e+02, -1.912e+00,  2.514e+00,  6.182e-03, -2.226e+00, -1.138e+00,  7.867e-03, -1.956e-05, -7.044e-03, -3.601e-03,
 2.014e+04,  8.108e-02,  2.268e+00, -8.353e-02,  2.292e+00, -1.704e+01,  2.375e-02, -1.704e+01,  0.000e+00,  3.100e+02,  7.363e+00,  3.225e+02, -7.201e+00,  2.476e+00,  2.968e-02, -1.629e+00,  1.896e+00,  7.986e-03, -9.394e-05, -5.154e-03,  6.001e-03,
 2.686e+04, -1.166e-01,  9.298e-01,  1.114e-01,  9.642e-01, -1.704e+01,  3.446e-02, -1.704e+01, -8.775e-17,  3.242e+02,  1.118e+01,  3.082e+02, -1.105e+01,  2.533e+00,  4.307e-02,  1.460e+00,  2.028e+00,  7.808e-03, -1.363e-04,  4.622e-03,  6.419e-03,
 3.357e+04,  1.003e-01, -3.928e-01, -1.007e-01, -3.827e-01, -1.704e+01,  1.004e-02, -1.704e+01,  0.000e+00,  3.088e+02,  3.099e+00,  3.235e+02, -2.921e+00,  2.471e+00,  1.254e-02,  2.314e+00, -9.450e-01,  8.003e-03, -3.970e-05,  7.324e-03, -2.991e-03,
 4.028e+04, -7.092e-02, -1.760e+00,  4.449e-02, -1.683e+00, -1.703e+01,  7.797e-02, -1.704e+01,  0.000e+00,  3.193e+02,  2.494e+01,  3.117e+02, -2.449e+01,  2.517e+00,  9.751e-02, -3.757e-01, -2.470e+00,  7.859e-03, -3.086e-04, -1.189e-03, -7.815e-03,
 4.699e+04, -3.437e-02, -3.057e+00,  3.437e-02, -3.056e+00, -1.704e+01,  5.520e-04, -1.704e+01, -1.096e-17,  3.185e+02,  1.758e-01,  3.135e+02, -2.496e-01,  2.510e+00,  6.900e-04, -2.491e+00, -2.124e-01,  7.880e-03, -2.184e-06, -7.883e-03, -6.722e-04,
 5.370e+04,  1.122e-01,  1.842e+00, -1.528e-01,  1.938e+00, -1.703e+01,  9.651e-02, -1.705e+01,  4.397e-17,  3.051e+02,  2.953e+01,  3.251e+02, -3.120e+01,  2.462e+00,  1.207e-01, -7.858e-01,  2.370e+00,  8.032e-03, -3.820e-04, -2.487e-03,  7.500e-03,
 6.041e+04, -2.379e-01,  5.406e-01,  2.332e-01,  5.735e-01, -1.704e+01,  3.287e-02, -1.704e+01,  0.000e+00,  3.334e+02,  1.097e+01,  2.994e+02, -1.023e+01,  2.568e+00,  4.107e-02,  2.122e+00,  1.320e+00,  7.697e-03, -1.300e-04,  6.714e-03,  4.177e-03,
 6.712e+04,  2.765e-01, -8.161e-01, -2.960e-01, -7.492e-01, -1.704e+01,  6.694e-02, -1.705e+01, -1.758e-16,  2.952e+02,  1.979e+01,  3.373e+02, -2.212e+01,  2.418e+00,  8.361e-02,  1.773e+00, -1.759e+00,  8.172e-03, -2.646e-04,  5.610e-03, -5.566e-03,
 7.383e+04, -3.111e-01, -2.168e+00,  2.616e-01, -2.061e+00, -1.703e+01,  1.066e-01, -1.706e+01, -1.761e-16,  3.356e+02,  3.592e+01,  2.947e+02, -3.192e+01,  2.583e+00,  1.333e-01, -1.294e+00, -2.133e+00,  7.650e-03, -4.217e-04, -4.095e-03, -6.751e-03,
 8.055e+04,  2.030e-01,  2.820e+00, -2.041e-01,  2.835e+00, -1.704e+01,  1.569e-02, -1.704e+01,  4.388e-17,  3.015e+02,  4.732e+00,  3.312e+02, -4.918e+00,  2.441e+00,  1.961e-02, -2.377e+00,  7.718e-01,  8.097e-03, -6.205e-05, -7.522e-03,  2.442e-03,
 8.726e+04, -1.301e-01,  1.406e+00,  1.398e-03,  1.577e+00, -1.701e+01,  1.717e-01, -1.707e+01,  1.105e-17,  3.161e+02,  5.483e+01,  3.075e+02, -5.341e+01,  2.519e+00,  2.152e-01,  1.992e-01,  2.483e+00,  7.851e-03, -6.810e-04,  6.304e-04,  7.857e-03,
